x,y,r
4.623866925022749541e+00,-9.767663405522668540e+00,1.059301251335091820e+03
-7.011378064889167483e+00,8.314027478247385972e+00,9.777049557989465711e+02
-4.358456521956444618e+00,2.615045636236242643e+00,8.996768746656761095e+02
3.947189624500571981e+00,-2.543996021763220927e+00,8.273534433985494161e+02
-5.881711029523766676e+00,3.317245741024041905e-01,8.204953741151728082e+02
-2.500927280811609421e+00,-8.511877331566701343e+00,7.853325123146535134e+02
1.034134834631255018e+01,-8.445026119168048240e+00,7.528957283462970054e+02
1.312495376186231688e+00,3.609721237960566320e+00,7.454340225965498803e+02
-1.092586335295447775e+01,2.880330441937536623e+00,7.423899890578547911e+02
-6.174278375781290684e+00,1.007007497222011771e+00,6.952810151521993021e+02
6.096821431083192522e+00,-1.052425786013540154e+01,6.792296392599467936e+02
4.316361668866885992e+00,-9.766884854680540684e+00,6.742895902776009507e+02
1.659283549720751871e+00,-3.742204985296186948e+00,6.717947951022443931e+02
4.173758738561073045e+00,-3.924172085819147782e+00,6.586324721670226836e+02
9.252178686271541608e+00,-8.982334032466528839e+00,6.564958695401714976e+02
3.403794829899196017e+00,8.496754569581490557e+00,6.428341365158346434e+02
-7.055588687835174788e+00,1.136001606890491900e+01,6.415124205469156777e+02
3.130989199264583078e+00,-3.922523704561772462e+00,6.407721251884948970e+02
-9.171602148660511489e+00,5.218814855476693992e+00,6.315172806327046828e+02
-1.013226040308314424e+00,6.796540973721668877e+00,6.173139822349053247e+02
-9.760352061291097669e+00,8.995765376772091315e+00,6.121888357594278887e+02
6.579354059627910090e+00,-1.353809365843470891e+00,6.112469171405664383e+02
9.323948317084926884e-01,5.984651023229453415e+00,6.060666053918384932e+02
-3.365465214179481634e+00,3.371916202506131555e+00,5.937917785050258317e+02
-1.127567640800293347e+01,6.197016986802232452e+00,5.907242338686722860e+02
4.283514329725944592e+00,5.705467700508926043e-02,5.863006462944165378e+02
-9.072436270593870589e+00,-1.724057694424496301e+00,5.413683487936572192e+02
-8.332276448686352310e+00,2.805103099328321026e+00,5.293892695556070294e+02
5.715889943995299483e+00,-5.188951894444557844e-01,5.116489504244978548e+02
2.909873420032266012e+00,-1.733677096475673807e+00,4.902044805532560758e+02
-1.009657785058765000e+01,-3.199854186704147452e-01,4.723330914992735643e+02
-1.195884286454154477e+01,2.325315042988721714e+00,4.684255463977096383e+02
1.101440742812828333e+01,-3.005529766196474384e+00,4.673698511217540386e+02
-9.438257696691501053e+00,-7.169042963752652042e-01,4.545126505972559698e+02
2.151164176707357711e+00,-8.303424248631383620e+00,4.492214523570098095e+02
-8.043437020279016636e+00,2.668868066723231736e-01,4.458187451735361719e+02
-1.106082159728284608e+01,-6.288711051412629871e-01,4.262747568356302281e+02
4.729058574769275936e-01,-1.084784266116885831e+01,4.159657690088815798e+02
2.538890407089393619e-01,-9.863384806277172956e+00,4.115074934932383712e+02
5.513313216330743671e+00,2.885870869411604644e+00,4.057787867593988267e+02
5.137474407058219228e+00,7.460524471210443487e-01,3.996468004776820635e+02
6.030648450138437866e+00,-5.390433935381314434e+00,3.936283466115739884e+02
3.604585426552748828e+00,8.346692199153018521e+00,3.901647112008685099e+02
2.618883864704372400e+00,6.479351898595776760e+00,3.725923993916605923e+02
1.144051249604780907e+01,8.840100709109204757e+00,3.716367055775357358e+02
-5.927076027963182447e+00,-1.024516729557670924e+00,3.665965429945628102e+02
3.264660933990020553e+00,-7.931570675118581271e+00,3.570703891013164366e+02
-5.365327707827772130e+00,2.766218567461450561e+00,3.562349687386152937e+02
-5.044089812789790628e+00,6.621159263551160024e+00,3.531471771393786412e+02
-1.247166344834127472e-03,-8.313271849086215637e-01,3.410319111873262159e+02
-5.975151694166554783e+00,-8.374642272614870819e+00,3.307043827593860783e+02
3.953706974707989374e+00,-1.479840297377908342e+00,2.997115100620058001e+02
1.302460196566265882e+00,9.382152138816777232e-01,2.665539905505944489e+02
-8.130530790887803505e+00,-3.671619583799451192e+00,2.102060698086929449e+02
3.744372435845447988e+00,-2.157165043820440609e+00,1.949791684172244288e+02
-1.057303620079721185e+01,-1.892688023707662648e-01,1.761366978142724236e+02
6.493355913341922303e+00,7.879851603056245324e+00,1.421169852866351562e+02
-6.190706558833641182e+00,-2.563183755410006537e+00,1.387244955415925745e+02
2.093411086152322742e+00,-2.077244266996872035e+00,1.342135983002149544e+02
-1.163650008759936583e+01,-1.349543132108458110e+00,1.111752487698029341e+02
